TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                       
JobListings                                                                                                                      ExpiryDate                                                                                                                       datetime2                                                                                                                       
JobListings                                                                                                                      PostedDate                                                                                                                       datetime2                                                                                                                       
JobListings                                                                                                                      UpdatedAt                                                                                                                        datetime2                                                                                                                       
JobListings                                                                                                                      NumberOfRounds                                                                                                                   int                                                                                                                             
JobSeekerProfiles                                                                                                                ProfileId                                                                                                                        int                                                                                                                             
JobSeekerProfiles                                                                                                                UserId                                                                                                                           int                                                                                                                             
JobSeekerProfiles                                                                                                                Headline                                                                                                                         nvarchar                                                                                                                        
JobSeekerProfiles                                                                                                                About                                                                                                                            nvarchar                                                                                                                        
JobSeekerProfiles                                                                                                                CurrentLocation                                                                                                                  nvarchar                                                                                                                        
JobSeekerProfiles                                                                                                                ExperienceYears                                                                                                                  int                                                                                                                             
JobSeekerProfiles                                                                                                                LinkedInUrl                                                                                                                      nvarchar                                                                                                                        
JobSeekerProfiles                                                                                                                PortfolioUrl                                                                                                                     nvarchar                                                                                                                        
JobSeekerProfiles                                                                                                                UpdatedAt                                                                                                                        datetime2                                                                                                                       
JobSkills                                                                                                                        JobSkillId                                                                                                                       int                                                                                                                             
JobSkills                                                                                                                        JobId                                                                                                                            int                                                                                                                             
JobSkills                                                                                                                        SkillId                                                                                                                          int                                                                                                                             
JobSkills                                                                                                                        IsRequired                                                                                                                       bit                                                                                                                             
Notifications                                                                                                                    NotificationId                                                                                                                   int                                                                                                                             
Notifications                                                                                                                    UserId                                                                                                                           int                                                                                                                             
Notifications                                                                                                                    Message                                                                                                                          nvarchar                                                                                                                        
Notifications                                                                                                                    NotificationType                                                                                                                 nvarchar                                                                                                                        
Notifications                                                                                                                    ReferenceId                                                                                                                      int                                                                                                                             
Notifications                                                                                                                    IsRead                                                                                                                           bit                                                                                                                             
Notifications                                                                                                                    CreatedAt                                                                                                                        datetime2                                                                                                                       
Projects                                                                                                                         ProjectId                                                                                                                        int                                                                                                                             
Projects                                                                                                                         UserId                                                                                                                           int                                                                                                                             
Projects                                                                                                                         Title                                                                                                                            nvarchar                                                                                                                        
Projects                                                                                                                         Description                                                                                                                      nvarchar                                                                                                                        
Projects                                                                                                                         Technologies                                                                                                                     nvarchar                                                                                                                        
Projects                                                                                                                         ProjectUrl                                                                                                                       nvarchar                                                                                                                        
Projects                                                                                                                         StartDate                                                                                                                        date                                                                                                                            
Projects                                                                                                                         EndDate                                                                                                                          date                                                                                                                            
Resumes                                                                                                                          ResumeId                                                                                                                         int                                                                                                                             
Resumes                                                                                                                          UserId                                                                                                                           int                                                                                                                             
Resumes                                                                                                                          FileName                                                                                                                         nvarchar                                                                                                                        
Resumes                                                                                                                          FileType                                                                                                                         nvarchar                                                                                                                        
Resumes                                                                                                                          FileUrl                                                                                                                          nvarchar                                                                                                                        
Resumes                                                                                                                          IsDefault                                                                                                                        bit                                                                                                                             
Resumes                                                                                                                          UploadedAt                                                                                                                       datetime2                                                                                                                       
SavedJobs                                                                                                                        SavedJobId                                                                                                                       int                                                                                                                             
SavedJobs                                                                                                                        UserId                                                                                                                           int                                                                                                                             
SavedJobs                                                                                                                        JobId                                                                                                                            int                                                                                                                             
SavedJobs                                                                                                                        SavedAt                                                                                                                          datetime2                                                                                                                       
Skills                                                                                                                           SkillId                                                                                                                          int                                                                                                                             
Skills                                                                                                                           SkillName                                                                                                                        nvarchar                                                                                                                        
Skills                                                                                                                           Category                                                                                                                         nvarchar                                                                                                                        
Users                                                                                                                            UserId                                                                                                                           int                                                                                                                             
Users                                                                                                                            FullName                                                                                                                         nvarchar                                                                                                                        
Users                                                                                                                            Email                                                                                                                            nvarchar                                                                                                                        
Users                                                                                                                            Username                                                                                                                         nvarchar                                                                                                                        
Users                                                                                                                            PasswordHash                                                                                                                     nvarchar                                                                                                                        
Users                                                                                                                            Salt                                                                                                                             nvarchar                                                                                                                        
Users                                                                                                                            MobileNumber                                                                                                                     nvarchar                                                                                                                        
Users                                                                                                                            Role                                                                                                                             nvarchar                                                                                                                        
Users                                                                                                                            IsActive                                                                                                                         bit                                                                                                                             
Users                                                                                                                            IsEmailVerified                                                                                                                  bit                                                                                                                             
Users                                                                                                                            IsTwoFactorEnabled                                                                                                               bit                                                                                                                             
Users                                                                                                                            IsLocked                                                                                                                         bit                                                                                                                             
Users                                                                                                                            LockedUntil                                                                                                                      datetime2                                                                                                                       
Users                                                                                                                            FailedLoginAttempts                                                                                                              int                                                                                                                             
Users                                                                                                                            LastLoginAt                                                                                                                      datetime2                                                                                                                       
Users                                                                                                                            CreatedAt                                                                                                                        datetime2                                                                                                                       
Users                                                                                                                            UpdatedAt                                                                                                                        datetime2                                                                                                                       
WorkExperience                                                                                                                   ExperienceId                                                                                                                     int                                                                                                                             
WorkExperience                                                                                                                   UserId                                                                                                                           int                                                                                                                             
WorkExperience                                                                                                                   JobTitle                                                                                                                         nvarchar                                                                                                                        
WorkExperience                                                                                                                   Company                                                                                                                          nvarchar                                                                                                                        
WorkExperience                                                                                                                   Location                                                                                                                         nvarchar                                                                                                                        
WorkExperience                                                                                                                   StartDate                                                                                                                        date                                                                                                                            
WorkExperience                                                                                                                   EndDate                                                                                                                          date                                                                                                                            
WorkExperience                                                                                                                   IsCurrent                                                                                                                        bit                                                                                                                             
WorkExperience                                                                                                                   Description                                                                                                                      nvarchar                                                                                                                        

(154 rows affected)
